,TCKR,revenue_growth
330,PMVC,
331,ATHA,
332,CMPS,
333,NMMC,
334,U,0.086
335,VTRU,0.85
336,AMWL,0.071
337,BNL,0.156
338,DYN,
339,PTVE,0.213
340,SUMO,0.259
341,ENPC,
342,EQD,
343,FROG,0.394
344,MTCR,
345,SNOW,0.827
346,STEP,
347,OM,-0.006
348,LSPD,0.5
349,PIAI,
350,CRHC,
351,TWND,
352,INAQ,
353,PRFX,
354,AUVI,2.135
355,GP,0.292
356,HCDI,-0.272
357,XPEV,0.977
358,KYMR,-0.378
359,NNOX,
360,HRMY,0.45
361,INBX,-0.255
362,CVAC,-0.1
363,DCT,0.139
364,BEKE,-0.43
365,NTST,0.603
366,KBNT,-0.195
367,FRLN,
368,IBEX,0.136
369,AFIB,-0.134
370,OSH,0.483
371,RKT,-0.475
372,BIGC,0.392
373,RXT,0.038
374,HSAQ,
375,FTHM,0.523
376,NHIC,
377,POL,10.152
378,VITL,0.374
379,VSTA,0.346
380,ALVR,
381,LI,0.733
382,VERX,0.137
383,ACEV,
384,ANNX,
385,GRCY,
386,INZY,
387,ITOS,
388,NRIX,0.053
389,EDTK,-0.192
390,ERES,
391,MEG,0.027
392,JAMF,0.341
393,ALXO,
394,BLI,-0.005
395,RNLX,0.312
396,RLAY,-0.568
397,TIG,0.341
398,GOCO,-0.194
399,HPX,
400,MLAC,
401,NCNO,0.498
402,IVA,-0.118
403,NKTX,
404,PSTX,
405,QH,0.242
406,ACCD,0.196
407,LMND,0.773
408,DNB,0.031
409,PANA,
410,ADTX,
411,ACI,0.086
412,AKUS,
413,API,-0.032
414,EBON,3.164
415,FUSN,0.094
416,PYPD,
417,BRLI,
418,BIOR,-0.775
419,FMTX,
420,GTH,-0.019
421,NUZE,0.518
422,RPTX,1.434
423,RPRX,-0.034
424,AZEK,0.206
425,BNR,0.028
426,GBIO,
427,PCVX,
428,RNA,-0.165
429,LTRN,
430,UCL,-0.063
431,VRM,-0.376
432,AMTI,
433,CALT,
434,DADA,0.547
435,FOUR,0.444
436,LEGN,1.89
437,MCAC,
438,ZI,0.535
439,PLRX,1.789
440,WMG,0.069
441,NARI,0.462
442,SLQT,-0.26
443,ADCT,3.599
444,AYLA,-0.95
445,CLEU,-0.252
446,KC,-0.123
447,GAN,0.018
448,LYRA,
449,ORIC,
450,KROS,
451,ZNTL,
452,WIMI,-0.159
453,IMRA,
454,GFL,0.404
455,PASG,
456,ZCMD,-0.194
457,ESSC,
458,GRIL,0.083
459,MEDS,0.727
460,RVMD,0.048
461,HUIZ,0.135
462,GNRS,0.399
463,NREF,-0.233
464,ONEW,0.407
465,PFHD,0.144
466,BEAM,2774.333
467,SDGR,0.292
468,ARQT,
469,ONEM,1.125
470,REYN,0.05
471,ANPC,-0.099
472,BDTX,
473,ANVS,
474,IMAB,1.917
475,LIZI,-0.078
476,VEL,0.184
477,GMFI,
478,WTMA,
479,AOGO,
480,GDNR,
481,NXGL,0.345
482,LSPR,
483,NVAC,
484,SAGA,
485,APCA,
486,RCAC,
487,ADRT,
488,BNOX,17.222
489,CFFS,
490,EMLD,
491,IMMX,
492,SANG,0.247
493,SHAP,
494,AHRN,
495,BFAC,
496,EVE,
497,GNTA,
498,IOT,0.519
499,IVCB,
500,IVCP,
501,PRLH,
502,KACL,
503,SIDU,6.952
504,VINE,1.653
505,ALSA,
506,BRKH,
507,ATEK,
508,FRBN,
509,FXCO,
510,GFGD,
511,HAIA,
512,PORT,
513,TCOA,
514,XPDB,
515,GGAA,
516,HCP,0.516
517,HORI,
518,IGTA,
519,NRSN,
520,NU,1.098
521,RJAC,
522,SCUA,
523,TGAA,
524,WEL,
525,CING,
526,REFI,8.101
527,APXI,
528,DAOO,
529,GLLI,
530,JWAC,
531,MTVC,
532,BIOS,
533,BOCN,
534,BPAC,
535,STET,
536,GEEX,
537,ROC,
538,UTAA,
539,CMCA,
540,PACI,
541,ROCL,
542,TLGY,
543,CNGL,
544,AERC,
545,BRD,
546,MNTN,
547,MAAQ,
548,VHNA,
549,LAX,
550,LGTO,
551,AHI,
552,ALOR,
553,CREC,
554,FINW,0.049
555,IFIN,
556,LITM,
557,NFNT,
558,ZING,
559,ARIZ,
560,BLEU,
561,SG,0.449
562,BRZE,0.545
563,IREN,4.198
564,LFAC,
565,NETC,
566,SEV,
567,SGII,
568,SUAC,
569,USER,0.356
570,ENCP,
571,BTBD,0.479
572,DERM,0.196
573,IRRX,
574,MCAG,
575,MYNA,-0.436
576,BEAT,
