IPO Date,Symbol,Company Name
06/27/2019,MORF,"Morphic Holding, Inc."
06/26/2019,CMBM,Cambium Networks Corporation
06/26/2019,=LINX,Linx S.A.
06/20/2019,AKRO,"Akero Therapeutics, Inc."
06/20/2019,BCEL,"Atreca, Inc."
06/20/2019,GO,Grocery Outlet Holding Corporation
06/20/2019,=PRVL,Prevail Therapeutics Inc.
06/20/2019,PSNL,"Personalis, Inc."
06/20/2019,=SMMC,South Mountain Merger Corp.
06/20/2019,=WORK,"Slack Technologies, Inc."
06/19/2019,STOK,"Stoke Therapeutics, Inc."
06/14/2019,CHWY,"Chewy, Inc."
06/13/2019,FVRR,Fiverr International Ltd.
06/12/2019,CRWD,"CrowdStrike Holdings, Inc."
06/12/2019,=MWK,"Mohawk Group Holdings, Inc."
06/07/2019,=HYAC,Haymaker Acquisition Corp. II
06/07/2019,RVLV,"Revolve Group, Inc."
06/06/2019,=GIX,"GigCapital2, Inc."
06/06/2019,GOTU,"Gaotu Techedu, Inc."
05/23/2019,BCYC,Bicycle Therapeutics PLC
05/23/2019,IDYA,"IDEAYA Biosciences, Inc."
05/23/2019,=RTLR,Rattler Midstream LP
05/21/2019,=GXGX,GX Acquisition Corp.
05/17/2019,AVTR,"Avantor, Inc."
05/17/2019,FSLY,"Fastly, Inc."
05/17/2019,LKNCY,"Luckin Coffee, Inc."
05/15/2019,PSTL,"Postal Realty Trust, Inc."
05/14/2019,AGBA,AGBA Acquisition Limited
05/14/2019,APLT,"Applied Therapeutics, Inc."
05/10/2019,JFIN,Jiayin Group Inc.
05/10/2019,SONM,"Sonim Technologies, Inc."
05/10/2019,UBER,"Uber Technologies, Inc."
05/09/2019,AXLA,"Axcella Health, Inc."
05/09/2019,HHR,Headhunter Group PLC
05/09/2019,MEC,"Mayville Engineering Company, Inc."
05/09/2019,NXTC,"NextCure, Inc."
05/09/2019,QNCX,"Quince Therapeutics, Inc."
05/09/2019,SPFI,"South Plains Financial, Inc."
05/08/2019,PSN,Parsons Corporation
05/07/2019,=LCA,"Landcadia Holdings II, Inc."
05/07/2019,TRVI,"Trevi Therapeutics, Inc."
05/06/2019,TBBA,"TEB Bancorp, Inc."
05/03/2019,ATIF,ATIF Holdings Limited
05/03/2019,RRBI,"Red River Bancshares, Inc."
05/03/2019,SCPL,SciPlay Corporation
05/03/2019,YJ,Yunji Inc.
05/02/2019,BYND,Beyond Meat Inc
05/02/2019,SY,So-Young International Inc.
05/02/2019,TMDX,"TransMedics Group, Inc."
04/30/2019,WAFU,Wah Fu Education Group Limited
04/18/2019,GNLN,"Greenlane Holdings, Inc."
04/18/2019,HOOK,HOOKIPA Pharma Inc.
04/18/2019,MNRL,"Brigham Minerals, Inc."
04/18/2019,PINS,"Pinterest, Inc."
04/18/2019,ZM,"Zoom Video Communications, Inc."
04/17/2019,BWAY,Brainsway Ltd.
04/17/2019,PLMR,"Palomar Holdings, Inc."
04/17/2019,=TPTX,"Turning Point Therapeutics, Inc."
04/12/2019,JMIA,Jumia Technologies AG
04/11/2019,PD,"PagerDuty, Inc."
04/11/2019,TUFN,Tufin Software Technologies Ltd.
04/05/2019,GHSI,"Guardion Health Sciences, Inc."
04/04/2019,NGM,"NGM Biopharmaceuticals, Inc."
04/04/2019,=RPLA,Replay Acquisition
04/04/2019,SILK,"Silk Road Medical, Inc."
04/04/2019,TW,Tradeweb Markets Inc.
04/03/2019,=RUHN,Ruhnn Holding Limited
04/02/2019,PBTS,Powerbridge Technologies Co. Ltd.
03/29/2019,LYFT,"Lyft, Inc."
03/29/2019,PUYI,Puyi Inc.
03/28/2019,DTIL,"Precision BioSciences, Inc."
03/28/2019,=JFK,8i Enterprises Acquisition
03/28/2019,=WTRE,Watford Holdings Ltd.
03/27/2019,GNFT,Genfit S.A.
03/21/2019,LEVI,Levi Strauss & Co.
03/20/2019,=INSU,Insurance Acquisition
03/20/2019,TIGR,UP Fintech Holding Ltd.
03/15/2019,=TRNE,Trine Acquisition
03/08/2019,=CRSA,Crescent Acquisition Corp.
03/08/2019,FUTU,Futu Holdings Limited
03/07/2019,SWAV,"ShockWave Medical, Inc."
03/05/2019,=THCB,Tuscan Holdings Corp.
03/01/2019,=HCAC,Hennessy Capital Acquisition Corp IV
02/28/2019,=DPHC,DiamondPeak Holdings
02/28/2019,=KLDO,"Kaleido Biosciences, Inc."
02/28/2019,=SHLL,Tortoise Acquisition Corp.
02/26/2019,SLGG,"Super League Gaming, Inc."
02/22/2019,=ACAM,Acamar Partners Acquisition Corp.
02/19/2019,=SOLY,"Soliton, Inc."
02/15/2019,AREC,American Resources Corporation
02/15/2019,HOTH,"Hoth Therapeutics, Inc."
02/15/2019,MITO,Stealth BioTherapeutics Corp.
02/14/2019,=AVDR,"Avedro, Inc."
02/14/2019,TCRR,TCR2 Therapeutics Inc.
02/13/2019,BACK,"IMAC Holdings, Inc."
02/12/2019,=ANCN,Anchiano Therapeutics
02/08/2019,GOSS,"Gossamer Bio, Inc."
02/08/2019,HARP,"Harpoon Therapeutics, Inc."
02/08/2019,=RMG,RMG Acquisition Corp.
02/07/2019,ALEC,"Alector, Inc."
02/07/2019,=MNCL,Monocle Acquisition Corporation
02/04/2019,INMB,Inmune Bio Inc.
02/04/2019,=IPV,InterPrivate Acquisition
02/01/2019,=GMHI,Gores Metropoulos
01/31/2019,NFE,New Fortress Energy Inc.
01/17/2019,RBKB,"Rhinebeck Bancorp, Inc."
01/09/2019,BCOW,"1895 Bancorp of Wisconsin, Inc."
01/08/2019,MDJH,MDJM Ltd.
01/08/2019,MTC,"MMTec, Inc."
01/04/2019,SXTC,"China SXT Pharmaceuticals, Inc."
