IPO Date,Symbol,Company Name
10/26/2022,MBLY,Mobileye Global Inc.
10/20/2022,PRME,"Prime Medicine, Inc."
10/14/2022,HUDA,Hudson Acquisition I Corp.
10/14/2022,TENK,TenX Keane Acquisition
10/13/2022,SVII,Spring Valley Acquisition Corp. II
10/04/2022,AQU,Aquaron Acquisition Corp.
09/30/2022,DMYY,"dMY Squared Technology Group, Inc."
09/30/2022,LASE,Laser Photonics Corporation
09/30/2022,QOMO,Qomolangma Acquisition Corp.
09/27/2022,AMV,"Atlis Motor Vehicles, Inc."
09/20/2022,GLST,"Global Star Acquisition, Inc."
09/16/2022,NXL,"Nexalin Technology, Inc."
09/15/2022,CRBG,"Corebridge Financial, Inc."
09/15/2022,THRD,"Third Harmonic Bio, Inc."
09/13/2022,WLDS,Wearable Devices Ltd.
09/09/2022,EFHT,EF Hutton Acquisition Corporation I
09/09/2022,YOSH,Yoshiharu Global Co.
09/01/2022,BIAF,"bioAffinity Technologies, Inc."
08/31/2022,SHPH,"Shuttle Pharmaceuticals Holdings, Inc."
08/30/2022,HPCO,"Hempacco Co., Inc."
08/26/2022,JFBR,Jeffs’ Brands Ltd
08/26/2022,JZ,Jianzhi Education Technology Group Company Limited
08/26/2022,ONFO,Onfolio Holdings Inc.
08/26/2022,PXMD,"PaxMedica, Inc."
08/25/2022,MOB,Mobilicom Limited
08/23/2022,STBX,Starbox Group Holdings Ltd.
08/18/2022,GCT,GigaCloud Technology Inc
08/15/2022,LUCY,"Innovative Eyewear, Inc."
08/12/2022,CHG,CorpHousing Group Inc.
08/12/2022,FRZA,"Forza X1, Inc."
08/12/2022,REBN,"Reborn Coffee, Inc."
08/11/2022,HMAC,Hainan Manaslu Acquisition Corp.
08/11/2022,TGL,Treasure Global Inc
08/10/2022,EMCG,Embrace Change Acquisition Corp.
08/05/2022,MEGL,Magic Empire Global Limited
08/05/2022,PTWO,"Pono Capital Two, Inc."
08/04/2022,MOBV,Mobiv Acquisition Corp
08/03/2022,BRSH,Bruush Oral Care Inc.
07/29/2022,MGAM,Mobile Global Esports Inc.
07/28/2022,MAIA,"MAIA Biotechnology, Inc."
07/21/2022,VRAX,Virax Biolabs Group Limited
07/15/2022,HKD,"AMTD Digital, Inc."
07/13/2022,ILAG,"Intelligent Living Application Group, Inc."
07/12/2022,NA,Nano Labs Ltd
06/28/2022,IE,Ivanhoe Electric Inc.
06/24/2022,SKGR,SK Growth Opportunities Corporation
06/22/2022,GSUN,Golden Sun Education Group Limited
06/16/2022,FLFV,Feutune Light Acquisition Corporation
06/15/2022,HSCS,"Heart Test Laboratories, Inc."
06/15/2022,LYT,Lytus Technologies Holdings PTV. LTD.
06/10/2022,ACAC,Acri Capital Acquisition Corporation
06/08/2022,PEV,Phoenix Motor Inc.
06/03/2022,SVRE,SaverOne 2014 Ltd.
06/01/2022,TOP,Zhong Yang Financial Group Limited
05/24/2022,BNRG,Brenmiller Energy Ltd.
05/17/2022,BGXX,Bright Green Corporation
05/17/2022,OKYO,OKYO Pharma Limited
05/17/2022,VEDU,Visionary Education Technology Holdings Group Inc.
05/13/2022,ASNS,"Actelis Networks, Inc."
05/13/2022,PFHC,ProFrac Holding Corp.
05/13/2022,PNAC,Prime Number Acquisition I Corp.
05/11/2022,HNVR,"Hanover Bancorp, Inc."
05/11/2022,MCAC,Monterey Capital Acquisition Corporation
05/10/2022,GBBK,Global Blockchain Acquisition Corp.
05/10/2022,IVCA,Investcorp Acquisition Corp.
05/06/2022,BLCO,Bausch + Lomb Corporation
05/06/2022,PEPG,PepGen Inc.
05/06/2022,RENE,Cartesian Growth Corporation II
05/05/2022,EDBL,Edible Garden AG Incorporated
05/04/2022,AUST,Austin Gold Corp.
05/03/2022,ASCB,A SPAC II Acquisition Corp.
04/29/2022,BLTE,"Belite Bio, Inc"
04/29/2022,HLVX,"HilleVax, Inc."
04/28/2022,CHEA,Chenghe Acquisition Co.
04/28/2022,CLRC,ClimateRock
04/27/2022,OST,"Ostin Technology Group Co., Ltd."
04/27/2022,TNON,"Tenon Medical, Inc."
04/26/2022,AIMA,Aimfinity Investment Corp. I
04/22/2022,ACON,"Aclarion, Inc."
04/22/2022,JCSE,JE Cleantech Holdings Limited
04/20/2022,YOTA,Yotta Acquisition Corporation
04/14/2022,STSS,"Sharps Technology, Inc."
04/13/2022,AFAR,Aura FAT Projects Acquisition Corp
04/13/2022,EE,"Excelerate Energy, Inc."
04/12/2022,GNS,Genius Group Limited
04/07/2022,DECA,Denali Capital Acquisition Corp.
04/01/2022,MSSA,Metal Sky Star Acquisition Corporation
04/01/2022,XPON,Expion360 Inc.
03/31/2022,RVSN,Rail Vision Ltd.
03/31/2022,RWOD,Redwoods Acquisition Corp.
03/25/2022,ANTX,"AN2 Therapeutics, Inc."
03/25/2022,LCFY,Locafy Limited
03/24/2022,RFAC,RF Acquisition Corp.
03/17/2022,GDST,Goldenstone Acquisition Limited
03/15/2022,AKAN,Akanda Corp.
03/11/2022,NUBI,Nubia Brand International Corp.
03/10/2022,PLAO,Patria Latin American Opportunity Acquisition Corp.
03/09/2022,LBBB,Lakeshore Acquisition II Corp.
03/02/2022,=KCAC,Kensington Capital Acquisition Corp. IV
03/02/2022,SHUA,SHUAA Partners Acquisition Corp I
03/02/2022,SPCM,"Sound Point Acquisition Corp I, Ltd"
03/01/2022,VMCA,Valuence Merger Corp. I
02/25/2022,FGMC,FG Merger Corp.
02/25/2022,GSRM,GSR II Meteora Acquisition Corp.
02/24/2022,CLIN,Clean Earth Acquisitions Corp.
02/18/2022,BWV,"Blue Water Vaccines, Inc."
02/18/2022,PWUP,PowerUp Acquisition Corp.
02/16/2022,AXAC,AXIOS Sustainable Growth Acquisition Corporation
02/16/2022,FTII,FutureTech II Acquisition Corp.
02/16/2022,MHUA,"Meihua International Medical Technologies Co., Ltd."
02/16/2022,SMFL,"Smart for Life, Inc."
02/15/2022,ASCA,A SPAC I Acquisition Corp.
02/15/2022,GENQ,Genesis Unicorn Capital Corp.
02/11/2022,DRCT,"Direct Digital Holdings, Inc."
02/11/2022,HNRA,HNR Acquisition Corp.
02/11/2022,JGGC,Jaguar Global Growth Corporation I
02/11/2022,MDV,Modiv Inc.
02/11/2022,RACY,Relativity Acquisition Corp.
02/11/2022,SGHL,Signal Hill Acquisition Corp.
02/11/2022,TCBP,TC BioPharm (Holdings) plc
02/10/2022,HTCR,"HeartCore Enterprises, Inc."
02/10/2022,SKYX,SQL Technologies Corp.
02/09/2022,BYNO,byNordic Acquisition Corporation
02/09/2022,CPAQ,Counter Press Acquisition Corporation
02/09/2022,EVGR,Evergreen Corporation
02/08/2022,LIVB,LIV Capital Acquisition Corp. II
02/07/2022,ATAK,Aurora Technology Acquisition Corp.
02/04/2022,ACLX,"Arcellx, Inc."
02/04/2022,NVCT,"Nuvectis Pharma, Inc."
02/04/2022,SSIC,Silver Spike Investment Corp.
02/04/2022,TGR,Kimbell Tiger Acquisition Corporation
02/03/2022,MURF,Murphy Canyon Acquisition Corp.
02/02/2022,MTEK,Maris-Tech Ltd.
02/01/2022,ACAX,Alset Capital Acquisition Corp.
01/31/2022,BWAQ,Blue World Acquisition Corporation
01/27/2022,CRDO,Credo Technology Group Holding Ltd
01/27/2022,KSCP,"Knightscope, Inc."
01/25/2022,FGI,FGI Industries Ltd.
01/25/2022,KYCH,Keyarch Acquisition Corporation
01/25/2022,LATG,LatAmGrowth SPAC
01/21/2022,HCMA,HCM Acquisition Corp.
01/21/2022,HMA,Heartland Media Acquisition Corp.
01/21/2022,KNSW,KnightSwan Acquisition Corporation
01/20/2022,BYN,Banyan Acquisition Corporation
01/20/2022,DUET,DUET Acquisition Corp.
01/20/2022,GAQ,Generation Asia I Acquisition Limited
01/19/2022,AIB,AIB Acquisition Corporation
01/18/2022,TETE,Technology & Telecommunication Acquisition Corporation
01/18/2022,TKLF,"Yoshitsu Co., Ltd"
01/14/2022,ACAB,Atlantic Coastal Acquisition Corp. II
01/14/2022,PPYA,Papaya Growth Opportunity Corp. I
01/13/2022,CSLM,"Consilium Acquisition Corp I, Ltd."
01/13/2022,TPG,TPG Inc.
01/13/2022,WNNR,Andretti Acquisition Corp.
01/12/2022,GHIX,"Gores Holdings IX, Inc."
01/12/2022,HILS,"Hillstream BioPharma, Inc."
01/12/2022,ITAQ,"Industrial Tech Acquisitions II, Inc."
01/12/2022,VCXB,10x Capital Venture Acquisition Corp. III
01/12/2022,WAVS,Western Acquisition Ventures Corp.
