IPO Date,Symbol,Company Name
12/29/2020,MRM,"Medirom Healthcare Technologies, Inc."
12/24/2020,=VTAQ,Ventoux CCM Acquisition Corp.
12/23/2020,CFIV,CF Acquisition Corp. IV
12/23/2020,=GBS,"GBS, Inc."
12/23/2020,HCAR,Healthcare Services Acquisition Corporation
12/23/2020,IKT,"Inhibikase Therapeutics, Inc."
12/23/2020,VHAQ,Viveon Health Acquisition Corp.
12/23/2020,VII,"7GC & Co. Holdings, Inc."
12/21/2020,ACKIT,Ackrell SPAC Partners I Co.
12/18/2020,DUNE,Dune Acquisition Corporation
12/18/2020,GFX,Golden Falcon Acquisition Corp.
12/18/2020,IIII,Insu Acquisition Corp. III
12/18/2020,MASS,"908 Devices, Inc."
12/18/2020,MTAC,MedTech Acquisition Corporation
12/18/2020,=SVOK,Seven Oaks Acquisition Corp.
12/17/2020,COOL,Corner Growth Acquisition Corp.
12/17/2020,MDWT,"Midwest Holding, Inc."
12/17/2020,SCOA,ScION Tech Growth I
12/17/2020,VIRI,"Virios Therapeutics, Inc."
12/16/2020,BCAB,"BioAtla, Inc."
12/16/2020,CCV,Churchill Capital Corp V
12/16/2020,SCPS,"Scopus Biopharma, Inc."
12/16/2020,UPST,"Upstart Holdings, Inc."
12/16/2020,WISH,"ContextLogic, Inc."
12/15/2020,ATA,Americas Technology Acquisition Corp.
12/15/2020,=BLUW,Blue Water Acquisition Corp.
12/15/2020,KINZ,"Kins Technology Group, Inc."
12/15/2020,=MRAC,Marquee Raine Acquisition Corp.
12/15/2020,OCG,Oriental Culture Holding Ltd.
12/15/2020,WNW,Wunong Net Technology Company Limited
12/11/2020,ABCL,AbCellera Biologics Inc.
12/11/2020,=CBAH,"CBRE Acquisition Holdings, Inc."
12/11/2020,CERT,"Certara, Inc."
12/11/2020,=DWIN,Delwinds Insurance Acquisition Corp.
12/11/2020,EDTX,EdtechX Holdings Acquisition Corp. II
12/11/2020,FDMT,"4D Molecular Therapeutics, Inc."
