IPO Date,Symbol,Company Name
12/30/2021,GMFI,Aetherium Acquisition Corp.
12/28/2021,WTMA,Welsbach Technology Metals Acquisition Corp.
12/27/2021,AOGO,Arogo Capital Acquisition Corp.
12/22/2021,GDNR,Gardiner Healthcare Acquisitions Corp.
12/22/2021,NXGL,"NexGel, Inc."
12/21/2021,LSPR,Larkspur Health Acquisition Corp.
12/21/2021,NVAC,NorthView Acquisition Corporation
12/21/2021,SAGA,Sagaliam Acquisition Corp.
12/17/2021,APCA,AP Acquisition Corp
12/17/2021,RCAC,Revelstone Capital Acquisition Corp.
12/16/2021,ADRT,Ault Disruptive Technologies Corporation
12/16/2021,BNOX,Bionomics Limited
12/16/2021,CFFS,CF Acquisition Corp. VII
12/16/2021,EMLD,FTAC Emerald Acquisition Corp.
12/16/2021,IMMX,"Immix Biopharma, Inc."
12/16/2021,SANG,Sangoma Technologies Corporation
12/16/2021,SHAP,Spree Acquisition Corp. 1 Limited
12/15/2021,AHRN,Ahren Acquisition Corp.
12/15/2021,BFAC,Battery Future Acquisition Corp.
12/15/2021,EVE,EVe Mobility Acquisition Corp.
12/15/2021,GNTA,Genenta Science S.p.A.
12/15/2021,IOT,Samsara Inc.
12/15/2021,IVCB,Investcorp Europe Acquisition Corp I
12/15/2021,IVCP,Swiftmerge Acquisition Corp.
12/15/2021,PRLH,Pearl Holdings Acquisition Corp
12/14/2021,KACL,Kairous Acquisition Corp. Limited
12/14/2021,SIDU,"Sidus Space, Inc."
12/14/2021,VINE,"Fresh Vine Wine, Inc."
12/13/2021,ALSA,Alpha Star Acquisition Corporation
12/13/2021,BRKH,BurTech Acquisition Corp.
12/10/2021,ATEK,Athena Technology Acquisition Corp. II
12/10/2021,FRBN,Forbion European Acquisition Corp.
12/10/2021,FXCO,Financial Strategies Acquisition Corp.
12/10/2021,GFGD,Growth For Good Acquisition Corporation
12/10/2021,HAIA,Healthcare AI Acquisition Corp.
12/10/2021,PORT,Southport Acquisition Corporation
12/10/2021,TCOA,Trajectory Alpha Acquisition Corp.
12/10/2021,XPDB,Power & Digital Infrastructure Acquisition II Corp.
12/09/2021,GGAA,Genesis Growth Tech Acquisition Corp.
12/09/2021,HCP,"HashiCorp, Inc."
12/09/2021,HORI,Emerging Markets Horizon Corp.
12/09/2021,IGTA,Inception Growth Acquisition Limited
12/09/2021,NRSN,NeuroSense Therapeutics Ltd.
12/09/2021,NU,Nu Holdings Ltd.
12/09/2021,RJAC,Jackson Acquisition Company
12/09/2021,SCUA,Sculptor Acquisition Corp. I
12/09/2021,TGAA,Target Global Acquisition I Corp.
12/09/2021,WEL,Integrated Wellness Acquisition Corp.
12/08/2021,CING,"Cingulate, Inc."
12/08/2021,REFI,"Chicago Atlantic Real Estate Finance, Inc."
12/07/2021,APXI,APx Acquisition Corp. I
12/07/2021,DAOO,Crypto 1 Acquisition Corp.
12/07/2021,GLLI,Globalink Investment Inc.
12/07/2021,JWAC,Jupiter Wellness Acquisition Corp.
12/07/2021,MTVC,Motive Capital Corp II
12/03/2021,BIOS,BioPlus Acquisition Corp.
12/03/2021,BOCN,Blue Ocean Acquisition Corp.
12/03/2021,BPAC,Bullpen Parlay Acquisition Company
12/03/2021,STET,ST Energy Transition I Ltd.
12/02/2021,GEEX,Games & Esports Experience Acquisition Corp.
12/02/2021,ROC,ROC Energy Acquisition Corp.
12/02/2021,UTAA,UTA Acquisition Corporation
12/01/2021,CMCA,Capitalworks Emerging Markets Acquisition Corp
12/01/2021,PACI,PROOF Acquisition Corp. I
12/01/2021,ROCL,Roth CH Acquisition V Co.
12/01/2021,TLGY,TLGY Acquisition Corporation
11/30/2021,CNGL,Canna-Global Acquisition Corp.
11/24/2021,AERC,"AeroClean Technologies, Inc."
11/24/2021,BRD,Beard Energy Transition Acquisition Corp.
11/24/2021,MNTN,Everest Consolidator Acquisition Corporation
11/23/2021,=MAAQ,Mana Capital Acquisition Corp.
11/23/2021,VHNA,Vahanna Tech Edge Acquisition I Corp.
11/22/2021,LAX,8i Acquisition 2 Corp.
11/22/2021,LGTO,Legato Merger Corp. II
11/19/2021,AHI,Advanced Human Imaging Limited
11/19/2021,ALOR,ALSP Orchid Acquisition Corporation I
11/19/2021,CREC,Crescera Capital Acquisition Corp.
11/19/2021,FINW,FinWise Bancorp
11/19/2021,IFIN,InFinT Acquisition Corporation
11/19/2021,LITM,Snow Lake Resources Ltd.
11/19/2021,NFNT,Infinite Acquisition Corp.
11/19/2021,ZING,FTAC Zeus Acquisition Corp.
11/18/2021,ARIZ,Arisz Acquisition Corp.
11/18/2021,BLEU,bleuacacia ltd.
11/18/2021,SG,"Sweetgreen, Inc."
11/17/2021,BRZE,"Braze, Inc."
11/17/2021,IREN,Iris Energy Limited
11/17/2021,LFAC,LF Capital Acquisition Corp. II
11/17/2021,NETC,Nabors Energy Transition Corp.
11/17/2021,SEV,Sono Group N.V.
11/17/2021,SGII,Seaport Global Acquisition II Corp.
11/17/2021,SUAC,ShoulderUp Technology Acquisition Corp.
11/17/2021,USER,"UserTesting, Inc."
11/16/2021,ENCP,Energem Corp.
11/12/2021,BTBD,"BT Brands, Inc."
11/12/2021,DERM,Journey Medical Corporation
11/12/2021,IRRX,Integrated Rail & Resources Acquisition Corp.
11/12/2021,MCAG,Mountain Crest Acquisition Corp. V
11/12/2021,MYNA,Mynaric AG
11/11/2021,BEAT,"HeartBeam, Inc."
11/11/2021,BLZE,"Backblaze, Inc."
11/11/2021,LGVC,LAMF Global Ventures Corp. I
11/11/2021,LVLU,"Lulu's Fashion Lounge Holdings, Inc."
11/11/2021,PIK,Kidpik Corp.
11/11/2021,TIVC,"Tivic Health Systems, Inc."
11/11/2021,VAXX,"Vaxxinity, Inc."
11/11/2021,VMGA,VMG Consumer Acquisition Corp.
11/11/2021,WBEV,"Winc, Inc."
11/11/2021,WEAV,"Weave Communications, Inc."
11/10/2021,ACDI,Ascendant Digital Acquisition Corp. III
11/10/2021,AFAC,Arena Fortify Acquisition Corp.
11/10/2021,BCSA,Blockchain Coinvestors Acquisition Corp. I
11/10/2021,BJDX,"Bluejay Diagnostics, Inc."
11/10/2021,CBRG,Chain Bridge I
11/10/2021,CINT,CI&T Inc.
11/10/2021,EXFY,"Expensify, Inc."
11/10/2021,RCFA,RCF Acquisition Corp.
11/10/2021,RIVN,"Rivian Automotive, Inc."
11/09/2021,APN,Apeiron Capital Investment Corp.
11/09/2021,DPCS,DP Cap Acquisition Corp. I
11/09/2021,GVCI,Green Visor Financial Technology Acquisition Corp. I
11/09/2021,HTAQ,Hunt Companies Acquisition Corp. I
11/09/2021,OLIT,OmniLit Acquisition Corp.
11/09/2021,SOPA,Society Pass Incorporated
11/09/2021,STRN,"Stran & Company, Inc."
11/09/2021,TCBX,"Third Coast Bancshares, Inc."
11/05/2021,CIAN,Cian PLC
11/05/2021,IOBT,"IO Biotech, Inc."
11/05/2021,IQMD,Intelligent Medicine Acquisition Corp.
11/05/2021,MCAA,Mountain & Co. I Acquisition Corp.
11/05/2021,MYNZ,Mainz Biomed B.V.
11/05/2021,NPAB,New Providence Acquisition Corp. II
11/05/2021,RGF,"Real Good Food Company, Inc."
11/05/2021,RRAC,Rigel Resource Acquisition Corp.
11/05/2021,SVNA,7 Acquisition Corporation
11/04/2021,ARHS,"Arhaus, Inc."
11/04/2021,CDRE,"Cadre Holdings, Inc."
11/04/2021,CNDB,Concord Acquisition Corp. III
11/04/2021,DHAC,Digital Health Acquisition Corp.
11/04/2021,EVO,Evotec SE
11/04/2021,FNVT,Finnovate Acquisition Corp.
11/04/2021,JUN,Juniper II Corp.
11/04/2021,LGST,Semper Paratus Acquisition Corporation
11/04/2021,LION,Lionheart III Corp.
11/04/2021,MDXH,MDxHealth SA
11/04/2021,MPRA,Mercato Partners Acquisition Corporation
11/04/2021,NRDS,"NerdWallet, Inc."
11/04/2021,SHCA,Spindletop Health Acquisition Corp.
11/04/2021,SZZL,Sizzle Acquisition Corp.
11/04/2021,TOAC,Talon 1 Acquisition Corp.
11/03/2021,BIRD,"Allbirds, Inc."
11/03/2021,CMTG,"Claros Mortgage Trust, Inc."
11/03/2021,FRLA,Fortune Rise Acquisition Corp.
11/03/2021,INTE,Integral Acquisition Corporation 1
11/03/2021,MLAI,McLaren Technology Acquisition Corp.
11/03/2021,ONYX,Onyx Acquisition Co. I
11/03/2021,TGVC,TG Venture Acquisition Corp.
11/03/2021,TRAQ,Trine II Acquisition Corp.
11/01/2021,LIAN,LianBio
11/01/2021,LIBY,Liberty Resources Acquisition Corp.
11/01/2021,VSAC,Vision Sensing Acquisition Corp.
10/29/2021,AEAE,AltEnergy Acquisition Corp.
10/29/2021,AIRS,"AirSculpt Technologies, Inc."
10/29/2021,ARCK,Arbor Rapha Capital Bioholdings Corp. I
10/29/2021,AURA,"Aura Biosciences, Inc."
10/29/2021,BFRI,"Biofrontera, Inc."
10/29/2021,CCTS,Cactus Acquisition Corp. 1 Limited
10/29/2021,HRT,HireRight Holdings Corporation
10/29/2021,PEGR,Project Energy Reimagined Acquisition Corp.
10/29/2021,SEDA,SDCL EDGE Acquisition Corporation
10/29/2021,SONX,"Sonendo, Inc."
10/29/2021,TRDA,"Entrada Therapeutics, Inc."
10/29/2021,UDMY,"Udemy, Inc."
10/28/2021,ADAL,Anthemis Digital Acquisitions I Corp.
10/28/2021,DTC,"Solo Brands, Inc."
10/28/2021,FIAC,Focus Impact Acquisition Corp.
10/28/2021,FLNC,"Fluence Energy, Inc."
10/28/2021,GFS,GlobalFoundries Inc.
10/28/2021,PCCT,Perception Capital Corp. II
10/28/2021,SCMA,Seaport Calibre Materials Acquisition Corp.
10/27/2021,AIP,"Arteris, Inc."
10/27/2021,DMAQ,Deep Medicine Acquisition Corp.
10/27/2021,INFA,Informatica Inc.
